20140824000000,#scotus,27,27, 3600
20140824010000,#scotus,49,49, 3600
20140824020000,#scotus,50,50, 3600
20140824030000,#scotus,41,41, 3600
20140824040000,#scotus,35,35, 3600
20140824050000,#scotus,34,34, 3600
20140824060000,#scotus,38,38, 3600
20140824070000,#scotus,38,38, 3600
20140824080000,#scotus,26,26, 3600
20140824090000,#scotus,13,13, 3600
20140824100000,#scotus,21,21, 3600
20140824110000,#scotus,15,15, 3600
20140824120000,#scotus,19,19, 3600
20140824130000,#scotus,40,40, 3600
20140824140000,#scotus,26,26, 3600
20140824150000,#scotus,32,32, 3600
20140824160000,#scotus,13,13, 3600
20140824170000,#scotus,45,45, 3600
20140824180000,#scotus,31,31, 3600
20140824190000,#scotus,35,35, 3600
20140824200000,#scotus,22,22, 3600
20140824210000,#scotus,48,48, 3600
20140824220000,#scotus,17,17, 3600
20140824230000,#scotus,17,17, 3600
20140825000000,#scotus,27,27, 3600
20140825010000,#scotus,47,47, 3600
20140825020000,#scotus,101,101, 3600
20140825030000,#scotus,81,81, 3600
20140825040000,#scotus,61,61, 3600
20140825050000,#scotus,32,32, 3600
20140825060000,#scotus,26,26, 3600
20140825070000,#scotus,21,21, 3600
20140825080000,#scotus,13,13, 3600
20140825090000,#scotus,24,24, 3600
20140825100000,#scotus,16,16, 3600
20140825110000,#scotus,10,10, 3600
20140825120000,#scotus,7,7, 3600
20140825130000,#scotus,16,16, 3600
20140825140000,#scotus,40,40, 3600
20140825150000,#scotus,27,27, 3600
20140825160000,#scotus,29,29, 3600
20140825170000,#scotus,33,33, 3600
20140825180000,#scotus,40,40, 3600
20140825190000,#scotus,227,227, 3600
20140825200000,#scotus,342,342, 3600
20140825210000,#scotus,122,122, 3600
20140825220000,#scotus,95,95, 3600
20140825230000,#scotus,68,68, 3600
20140826000000,#scotus,46,46, 3600
20140826010000,#scotus,45,45, 3600
20140826020000,#scotus,75,75, 3600
20140826030000,#scotus,50,50, 3600
20140826040000,#scotus,60,60, 3600
20140826050000,#scotus,54,54, 3600
20140826060000,#scotus,42,42, 3600
20140826070000,#scotus,70,70, 3600
20140826080000,#scotus,159,159, 3600
20140826090000,#scotus,149,149, 3600
20140826100000,#scotus,112,112, 3600
20140826110000,#scotus,103,103, 3600
